分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 1508, IPv6: 0, 最小延迟: 157 ms, 最高速率: 7.31 M/s, 平均速率: 2.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 1163, IPv6: 0, 最小延迟: 157 ms, 最高速率: 2.08 M/s, 平均速率: 0.99 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.04, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 1107, IPv6: 0, 最小延迟: 128 ms, 最高速率: 8.35 M/s, 平均速率: 4.09 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.11, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 1247, IPv6: 0, 最小延迟: 112 ms, 最高速率: 8.74 M/s, 平均速率: 2.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 1326, IPv6: 0, 最小延迟: 106 ms, 最高速率: 8.76 M/s, 平均速率: 6.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 967, IPv6: 0, 最小延迟: 156 ms, 最高速率: 7.92 M/s, 平均速率: 3.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.89, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 1113, IPv6: 0, 最小延迟: 115 ms, 最高速率: 8.15 M/s, 平均速率: 5.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.79, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 1126, IPv6: 0, 最小延迟: 154 ms, 最高速率: 7.77 M/s, 平均速率: 3.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 1074, IPv6: 0, 最小延迟: 128 ms, 最高速率: 8.34 M/s, 平均速率: 5.40 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.86, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 1113, IPv6: 0, 最小延迟: 154 ms, 最高速率: 9.94 M/s, 平均速率: 2.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 1132, IPv6: 0, 最小延迟: 121 ms, 最高速率: 8.09 M/s, 平均速率: 2.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.26, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 948, IPv6: 0, 最小延迟: 124 ms, 最高速率: 8.50 M/s, 平均速率: 4.01 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.09, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-12, 有效: 6, IPv4: 1073, IPv6: 0, 最小延迟: 154 ms, 最高速率: 8.99 M/s, 平均速率: 2.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.20, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 1041, IPv6: 0, 最小延迟: 104 ms, 最高速率: 13.41 M/s, 平均速率: 4.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.08, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 1035, IPv6: 0, 最小延迟: 154 ms, 最高速率: 7.37 M/s, 平均速率: 2.69 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 939, IPv6: 0, 最小延迟: 139 ms, 最高速率: 7.63 M/s, 平均速率: 6.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.74, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 675, IPv6: 0, 最小延迟: 125 ms, 最高速率: 7.53 M/s, 平均速率: 5.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 815, IPv6: 0, 最小延迟: 159 ms, 最高速率: 9.99 M/s, 平均速率: 3.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.93, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-1, 有效: 5, IPv4: 375, IPv6: 0, 最小延迟: 123 ms, 最高速率: 12.95 M/s, 平均速率: 9.07 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-2, 有效: 3, IPv4: 198, IPv6: 0, 最小延迟: 104 ms, 最高速率: 7.84 M/s, 平均速率: 7.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.22, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 26, IPv6: 0, 最小延迟: 203 ms, 最高速率: 3.10 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-4, 有效: 2, IPv4: 265, IPv6: 0, 最小延迟: 88 ms, 最高速率: 7.87 M/s, 平均速率: 7.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 791, IPv6: 0, 最小延迟: 123 ms, 最高速率: 13.79 M/s, 平均速率: 4.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 28.42, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 17, IPv6: 0, 最小延迟: 10685 ms, 最高速率: 0.42 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 839, IPv6: 0, 最小延迟: 515 ms, 最高速率: 9.84 M/s, 平均速率: 2.75 M/s, 最高分辨率: 3840x2160, 平均帧率: 34.38, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 1012, IPv6: 0, 最小延迟: 157 ms, 最高速率: 10.19 M/s, 平均速率: 2.72 M/s, 最高分辨率: 3840x2160, 平均帧率: 40.48, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 978, IPv6: 0, 最小延迟: 76 ms, 最高速率: 1.29 M/s, 平均速率: 0.76 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.77, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 5, IPv4: 766, IPv6: 0, 最小延迟: 148 ms, 最高速率: 6.74 M/s, 平均速率: 2.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.78, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 6, IPv4: 717, IPv6: 0, 最小延迟: 119 ms, 最高速率: 8.04 M/s, 平均速率: 5.11 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.60, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 670, IPv6: 0, 最小延迟: 75 ms, 最高速率: 1.23 M/s, 平均速率: 0.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.96, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 661, IPv6: 0, 最小延迟: 134 ms, 最高速率: 7.04 M/s, 平均速率: 3.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 6, IPv4: 793, IPv6: 0, 最小延迟: 156 ms, 最高速率: 6.15 M/s, 平均速率: 1.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.20, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东南卫视, 有效: 5, IPv4: 619, IPv6: 0, 最小延迟: 75 ms, 最高速率: 8.41 M/s, 平均速率: 3.51 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 373, IPv6: 0, 最小延迟: 122 ms, 最高速率: 7.97 M/s, 平均速率: 6.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 527, IPv6: 0, 最小延迟: 137 ms, 最高速率: 10.16 M/s, 平均速率: 6.26 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.21, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 604, IPv6: 0, 最小延迟: 143 ms, 最高速率: 8.22 M/s, 平均速率: 3.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 27.69, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 海南卫视, 有效: 5, IPv4: 460, IPv6: 0, 最小延迟: 127 ms, 最高速率: 8.16 M/s, 平均速率: 6.33 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 567, IPv6: 0, 最小延迟: 76 ms, 最高速率: 7.91 M/s, 平均速率: 4.62 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.91, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 590, IPv6: 0, 最小延迟: 124 ms, 最高速率: 8.04 M/s, 平均速率: 4.02 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 552, IPv6: 0, 最小延迟: 152 ms, 最高速率: 7.23 M/s, 平均速率: 2.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.79, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 818, IPv6: 0, 最小延迟: 76 ms, 最高速率: 26.96 M/s, 平均速率: 3.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.94, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 643, IPv6: 0, 最小延迟: 140 ms, 最高速率: 9.44 M/s, 平均速率: 3.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.81, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 669, IPv6: 0, 最小延迟: 76 ms, 最高速率: 10.24 M/s, 平均速率: 3.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 5, IPv4: 316, IPv6: 0, 最小延迟: 75 ms, 最高速率: 8.42 M/s, 平均速率: 7.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 336, IPv6: 0, 最小延迟: 137 ms, 最高速率: 7.96 M/s, 平均速率: 4.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 39.38, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 青海卫视, 有效: 5, IPv4: 431, IPv6: 0, 最小延迟: 119 ms, 最高速率: 9.04 M/s, 平均速率: 6.72 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.09, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 5, IPv4: 689, IPv6: 0, 最小延迟: 141 ms, 最高速率: 7.18 M/s, 平均速率: 3.34 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.82, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 山西卫视, 有效: 5, IPv4: 280, IPv6: 0, 最小延迟: 76 ms, 最高速率: 7.74 M/s, 平均速率: 5.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.64, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 4, IPv4: 316, IPv6: 0, 最小延迟: 76 ms, 最高速率: 7.44 M/s, 平均速率: 5.64 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.30, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 5, IPv4: 689, IPv6: 0, 最小延迟: 125 ms, 最高速率: 7.95 M/s, 平均速率: 4.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 738, IPv6: 0, 最小延迟: 120 ms, 最高速率: 7.94 M/s, 平均速率: 4.86 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.32, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 5, IPv4: 209, IPv6: 0, 最小延迟: 131 ms, 最高速率: 7.60 M/s, 平均速率: 4.85 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 748, IPv6: 0, 最小延迟: 603 ms, 最高速率: 0.82 M/s, 平均速率: 0.68 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.18, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 5, IPv4: 295, IPv6: 0, 最小延迟: 118 ms, 最高速率: 8.01 M/s, 平均速率: 6.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.88, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 5, IPv4: 323, IPv6: 0, 最小延迟: 138 ms, 最高速率: 7.65 M/s, 平均速率: 7.28 M/s, 最高分辨率: 1920x1080, 平均帧率: 30.83, 视频编解码器: h264, 音频编解码器: aac
